i,S,V,Ip (e1=e2= 0.50),Im (e1=e2= 0.50),R,x,I(e1 = e2 = 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192898,0.00400561,0.00441536,0.0024848,0.109175,0.00842097
3,0.704465,0.279172,0.00545669,0.00631513,0.00459129,0.113509,0.0117718
4,0.618587,0.357819,0.00725437,0.00881514,0.00752423,0.117728,0.0160695
5,0.538707,0.428344,0.00941868,0.0120182,0.0115119,0.121898,0.0214369
6,0.464884,0.490341,0.0119499,0.0160145,0.0168103,0.126104,0.0279643
7,0.397125,0.543489,0.0148227,0.0208687,0.0236942,0.130454,0.0356914
8,0.33541,0.587557,0.0179816,0.026607,0.032445,0.135067,0.0445886
9,0.279709,0.622417,0.0213387,0.0332025,0.0433331,0.140081,0.0545411
10,0.229984,0.64808,0.0247743,0.040565,0.0565974,0.14564,0.0653392
11,0.186172,0.664726,0.028143,0.0485351,0.0724229,0.151894,0.0766781
12,0.148167,0.672744,0.0312841,0.0568867,0.0909182,0.158993,0.0881708
13,0.115784,0.672744,0.0340357,0.0653388,0.112097,0.167076,0.0993745
14,0.0887428,0.665563,0.0362518,0.0735761,0.135866,0.176267,0.109828
15,0.0666538,0.65223,0.0378176,0.0812757,0.162023,0.186669,0.119093
16,0.0490285,0.63391,0.0386616,0.0881355,0.190264,0.198349,0.126797
17,0.0353036,0.611833,0.0387621,0.0939004,0.2202,0.21134,0.132663
18,0.0248783,0.587212,0.0381461,0.0983814,0.251382,0.225631,0.136527
19,0.0171547,0.561167,0.0368834,0.101466,0.283329,0.241164,0.138349
20,0.0115728,0.534677,0.0350755,0.103119,0.315556,0.257839,0.138194
21,0.00763693,0.50854,0.0328433,0.103378,0.347602,0.275514,0.136221
22,0.00492847,0.483368,0.0303141,0.102341,0.379048,0.294014,0.132655
23,0.00310938,0.459595,0.0276115,0.100151,0.409533,0.313143,0.127763
24,0.00191697,0.437493,0.0248463,0.0969806,0.438763,0.332695,0.121827
25,0.00115431,0.417205,0.022112,0.0930154,0.466513,0.352462,0.115127
26,0.000678502,0.398771,0.0194823,0.0884434,0.492625,0.372251,0.107926
27,0.000389101,0.382156,0.0170106,0.0834433,0.517001,0.391886,0.100454
28,0.000217578,0.367276,0.0147322,0.0781774,0.539597,0.411217,0.0929096
29,0.000118574,0.354015,0.0126664,0.0727874,0.560413,0.430124,0.0854538
30,6.29E-05,0.342239,0.0108197,0.0673924,0.579486,0.448515,0.0782121
31,3.25E-05,0.33181,0.00918881,0.0620889,0.596879,0.466322,0.0712777
32,1.64E-05,0.322593,0.00776375,0.0569515,0.612675,0.483506,0.0647153
33,8.02E-06,0.314457,0.00652983,0.052036,0.626969,0.500045,0.0585658
34,3.82E-06,0.307281,0.00546987,0.0473809,0.639864,0.515935,0.0528508
35,1.77E-06,0.300956,0.00456562,0.0430108,0.651466,0.531185,0.0475764
36,7.99E-07,0.295382,0.00379882,0.0389385,0.66188,0.545813,0.0427373
37,3.50E-07,0.29047,0.00315198,0.0351679,0.67121,0.559844,0.0383199
38,1.50E-07,0.28614,0.00260883,0.0316957,0.679555,0.573307,0.0343045
39,6.21E-08,0.282324,0.00215458,0.0285132,0.687008,0.586235,0.0306678
40,2.50E-08,0.278959,0.00177599,0.0256082,0.693656,0.598658,0.0273842
41,9.83E-09,0.275992,0.00146144,0.0229659,0.699581,0.61061,0.0244274
42,3.75E-09,0.273374,0.00120079,0.0205699,0.704855,0.622121,0.0217707
43,1.39E-09,0.271064,0.000985323,0.0184031,0.709547,0.633221,0.0193884
44,5.03E-10,0.269025,0.000807569,0.016448,0.713719,0.643938,0.0172556
45,1.77E-10,0.267224,0.000661197,0.0146877,0.717427,0.654296,0.0153489
46,6.03E-11,0.265634,0.000540858,0.0131056,0.72072,0.664319,0.0136465
47,2.00E-11,0.264228,0.000442063,0.0116858,0.723644,0.674029,0.0121279
48,6.47E-12,0.262986,0.000361055,0.0104135,0.726239,0.683444,0.0107746
49,2.03E-12,0.261888,0.000294706,0.00927475,0.728542,0.692582,0.00956946
50,6.19E-13,0.260917,0.000240414,0.00825657,0.730586,0.701459,0.00849698
51,1.84E-13,0.260059,0.000196027,0.00734706,0.732398,0.710087,0.00754309
52,5.29E-14,0.259299,0.000159765,0.00653531,0.734006,0.71848,0.00669507
53,1.48E-14,0.258627,0.00013016,0.00581132,0.735432,0.726648,0.00594148
54,4.03E-15,0.258032,0.000106005,0.00516602,0.736696,0.734601,0.00527203
55,1.07E-15,0.257505,8.63E-05,0.0045912,0.737817,0.742348,0.0046775
56,2.73E-16,0.257039,7.02E-05,0.0040794,0.738811,0.749896,0.00414965
57,6.82E-17,0.256626,5.72E-05,0.00362391,0.739693,0.757252,0.00368108
58,1.65E-17,0.256261,4.65E-05,0.00321871,0.740474,0.764423,0.00326522
59,3.88E-18,0.255937,3.78E-05,0.00285836,0.741167,0.771413,0.00289619
60,8.84E-19,0.25565,3.08E-05,0.00253799,0.741781,0.778229,0.00256876
61,1.96E-19,0.255396,2.50E-05,0.00225325,0.742326,0.784874,0.00227827
62,4.20E-20,0.255171,2.03E-05,0.00200023,0.742809,0.791353,0.00202058
63,8.75E-21,0.254971,1.65E-05,0.00177546,0.743237,0.797668,0.00179199
64,1.77E-21,0.254795,1.34E-05,0.0015758,0.743616,0.803825,0.00158924
65,3.46E-22,0.254638,1.09E-05,0.00139849,0.743952,0.809826,0.00140942
66,6.58E-23,0.254499,8.88E-06,0.00124104,0.744251,0.815674,0.00124992
67,1.21E-23,0.254376,7.22E-06,0.00110126,0.744515,0.821372,0.00110847
68,2.16E-24,0.254267,5.87E-06,0.000977163,0.74475,0.826924,0.000983029
69,3.74E-25,0.254171,4.77E-06,0.000867012,0.744958,0.83233,0.000871778
70,6.27E-26,0.254085,3.87E-06,0.000769245,0.745142,0.837596,0.000773118
71,1.02E-26,0.254009,3.15E-06,0.000682477,0.745305,0.842721,0.000685624
72,1.60E-27,0.253942,2.56E-06,0.000605476,0.74545,0.847711,0.000608033
73,2.43E-28,0.253882,2.08E-06,0.000537147,0.745579,0.852566,0.000539225
74,3.59E-29,0.253829,1.69E-06,0.000476517,0.745693,0.857289,0.000478205
75,5.12E-30,0.253782,1.37E-06,0.00042272,0.745794,0.861883,0.000424092
76,7.06E-31,0.253741,1.11E-06,0.00037499,0.745883,0.866349,0.000376104
77,9.44E-32,0.253704,9.05E-07,0.000332642,0.745963,0.870691,0.000333547
78,1.22E-32,0.253671,7.35E-07,0.000295073,0.746033,0.874911,0.000295808
79,1.53E-33,0.253642,5.97E-07,0.000261742,0.746096,0.879012,0.00026234
80,1.85E-34,0.253616,4.85E-07,0.000232174,0.746151,0.882994,0.000232659
