i,S,V,Ip(e1 = e2 = 0.10),Im(e1 = e2 = 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.19271,0.00410077,0.00450807,0.0024848,0.105441,0.00860884
3,0.70731,0.275465,0.0058592,0.00672673,0.00463876,0.102383,0.0125859
4,0.628464,0.345383,0.00836761,0.0100088,0.0077766,0.0961648,0.0183764
5,0.559631,0.401247,0.0119348,0.0148445,0.0123427,0.0878004,0.0267792
6,0.499499,0.442649,0.0169656,0.021911,0.0189753,0.078416,0.0388765
7,0.445938,0.46944,0.0239534,0.0320942,0.0285746,0.0690391,0.0560476
8,0.39644,0.481316,0.0334228,0.0464497,0.0423719,0.0604764,0.0798725
9,0.348545,0.477677,0.0457762,0.066026,0.0619757,0.0532799,0.111802
10,0.300317,0.457912,0.0609933,0.091444,0.0893334,0.0477791,0.152437
11,0.250929,0.422191,0.0781884,0.122174,0.126517,0.0441466,0.200363
12,0.201228,0.372636,0.0952128,0.155694,0.175229,0.042467,0.250907
13,0.153834,0.31422,0.108765,0.187175,0.236006,0.0427828,0.295939
14,0.112242,0.254263,0.115474,0.21062,0.307401,0.0450995,0.326095
15,0.0791057,0.200056,0.113655,0.221473,0.38571,0.049347,0.335128
16,0.0549629,0.156089,0.104298,0.218874,0.465776,0.0553301,0.323172
17,0.0384498,0.123158,0.0903041,0.205539,0.542549,0.0627181,0.295844
18,0.0274806,0.0996204,0.0747951,0.1857,0.612404,0.0710949,0.260495
19,0.0201909,0.0831179,0.0599923,0.163175,0.673524,0.080038,0.223167
20,0.0152494,0.07156,0.0470386,0.140602,0.72555,0.0891817,0.187641
21,0.0117992,0.0633967,0.0362956,0.119495,0.769013,0.0982482,0.155791
22,0.0093109,0.0575605,0.0276884,0.100568,0.804872,0.107052,0.128256
23,0.00745938,0.0533352,0.0209489,0.0840434,0.834213,0.115485,0.104992
24,0.00604278,0.0502405,0.0157543,0.0698718,0.858091,0.123504,0.0856261
25,0.00493312,0.0479513,0.0117946,0.0578667,0.877454,0.131103,0.0696614
26,0.00404718,0.0462436,0.00880029,0.0477854,0.893124,0.138309,0.0565857
27,0.00332938,0.0449609,0.00654915,0.0393732,0.905787,0.14516,0.0459223
28,0.00274144,0.0439919,0.00486415,0.0323866,0.916016,0.151703,0.0372507
29,0.0022562,0.0432561,0.00360709,0.0266044,0.924276,0.157986,0.0302115
30,0.00185381,0.042695,0.00267167,0.0218318,0.930948,0.164058,0.0245035
31,0.00151929,0.0422652,0.00197694,0.0179008,0.936338,0.16996,0.0198778
32,0.00124101,0.0419344,0.00146177,0.0146681,0.940695,0.175733,0.0161299
33,0.00100973,0.0416786,0.0010802,0.0120131,0.944218,0.18141,0.0130933
34,0.000817894,0.0414797,0.000797853,0.00983458,0.94707,0.187022,0.0106324
35,0.000659274,0.041324,0.000589084,0.00804851,0.949379,0.192595,0.00863759
36,0.000528624,0.0412014,0.00043481,0.00658508,0.95125,0.19815,0.00701989
37,0.000421498,0.0411039,0.00032086,0.00538661,0.952767,0.203706,0.00570747
38,0.000334104,0.0410259,0.000236727,0.00440552,0.953998,0.209279,0.00464225
39,0.000263203,0.0409628,0.000174627,0.00360263,0.954997,0.214882,0.00377725
40,0.000206021,0.0409113,0.000128801,0.00294573,0.955808,0.220526,0.00307453
41,0.000160193,0.0408689,9.50E-05,0.0024084,0.956467,0.226221,0.00250339
42,0.000123706,0.0408338,7.00E-05,0.00196895,0.957004,0.231973,0.002039
43,9.49E-05,0.0408044,5.17E-05,0.00160958,0.95744,0.237789,0.00166124
44,7.22E-05,0.0407797,3.81E-05,0.00131574,0.957794,0.243673,0.00135383
45,5.46E-05,0.0407588,2.81E-05,0.00107551,0.958083,0.249631,0.00110359
46,4.09E-05,0.040741,2.07E-05,0.000879108,0.958318,0.255664,0.000899813
47,3.04E-05,0.040726,1.53E-05,0.000718555,0.95851,0.261776,0.00073382
48,2.24E-05,0.0407131,1.13E-05,0.000587311,0.958666,0.267968,0.000598566
49,1.64E-05,0.0407021,8.30E-06,0.000480032,0.958793,0.274241,0.000488328
50,1.19E-05,0.0406928,6.12E-06,0.000392342,0.958897,0.280596,0.000398459
51,8.57E-06,0.0406848,4.51E-06,0.000320668,0.958981,0.287033,0.000325177
52,6.11E-06,0.0406781,3.32E-06,0.000262085,0.95905,0.293551,0.000265409
53,4.31E-06,0.0406724,2.45E-06,0.000214203,0.959107,0.300152,0.000216653
54,3.02E-06,0.0406675,1.81E-06,0.000175068,0.959153,0.306833,0.000176874
55,2.09E-06,0.0406634,1.33E-06,0.000143082,0.95919,0.313594,0.000144413
56,1.44E-06,0.04066,9.82E-07,0.000116939,0.959221,0.320433,0.000117921
57,9.76E-07,0.0406571,7.24E-07,9.56E-05,0.959246,0.327349,9.63E-05
58,6.56E-07,0.0406547,5.34E-07,7.81E-05,0.959266,0.334341,7.86E-05
59,4.37E-07,0.0406527,3.93E-07,6.38E-05,0.959283,0.341406,6.42E-05
60,2.88E-07,0.040651,2.90E-07,5.22E-05,0.959296,0.348542,5.25E-05
61,1.87E-07,0.0406497,2.14E-07,4.26E-05,0.959307,0.355748,4.29E-05
62,1.21E-07,0.0406485,1.58E-07,3.48E-05,0.959316,0.36302,3.50E-05
63,7.69E-08,0.0406476,1.16E-07,2.85E-05,0.959324,0.370356,2.86E-05
64,4.84E-08,0.0406468,8.56E-08,2.33E-05,0.95933,0.377753,2.34E-05
65,3.01E-08,0.0406461,6.31E-08,1.90E-05,0.959335,0.38521,1.91E-05
66,1.85E-08,0.0406456,4.65E-08,1.55E-05,0.959339,0.392721,1.56E-05
67,1.12E-08,0.0406452,3.43E-08,1.27E-05,0.959342,0.400286,1.27E-05
68,6.74E-09,0.0406448,2.53E-08,1.04E-05,0.959345,0.407899,1.04E-05
69,3.99E-09,0.0406445,1.86E-08,8.49E-06,0.959347,0.415559,8.51E-06
70,2.33E-09,0.0406443,1.37E-08,6.94E-06,0.959349,0.423261,6.95E-06
71,1.35E-09,0.0406441,1.01E-08,5.67E-06,0.95935,0.431003,5.68E-06
72,7.66E-10,0.0406439,7.47E-09,4.63E-06,0.959351,0.43878,4.64E-06
73,4.30E-10,0.0406438,5.50E-09,3.79E-06,0.959352,0.44659,3.79E-06
74,2.38E-10,0.0406437,4.06E-09,3.09E-06,0.959353,0.454427,3.10E-06
75,1.30E-10,0.0406436,2.99E-09,2.53E-06,0.959354,0.462289,2.53E-06
76,6.98E-11,0.0406435,2.21E-09,2.07E-06,0.959354,0.470172,2.07E-06
77,3.70E-11,0.0406435,1.63E-09,1.69E-06,0.959355,0.478072,1.69E-06
78,1.93E-11,0.0406434,1.20E-09,1.38E-06,0.959355,0.485984,1.38E-06
79,9.92E-12,0.0406434,8.83E-10,1.13E-06,0.959355,0.493906,1.13E-06
80,5.02E-12,0.0406434,6.51E-10,9.22E-07,0.959356,0.501833,9.23E-07
