i,S,V,Ip (Cv=0.90),Im (Cv=0.90),R,x,I (Cv=0.90)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192934,0.00396993,0.00441536,0.0024848,0.105441,0.00838529
3,0.707439,0.276333,0.005322,0.00632568,0.00458082,0.102363,0.0116477
4,0.629072,0.347644,0.00693068,0.0088761,0.00747648,0.0960669,0.0158068
5,0.56141,0.406182,0.00879657,0.0122287,0.0113821,0.0875101,0.0210252
6,0.503621,0.45235,0.0109129,0.0165735,0.0165424,0.0777467,0.0274864
7,0.454205,0.487168,0.013262,0.0221247,0.0232402,0.0677217,0.0353867
8,0.411406,0.511878,0.0158103,0.0291078,0.0317982,0.0581546,0.0449181
9,0.373501,0.527685,0.018501,0.0377365,0.0425771,0.0495068,0.0562374
10,0.338979,0.535633,0.0212476,0.0481745,0.0559659,0.0420089,0.0694221
11,0.306643,0.536582,0.0239296,0.0604825,0.0723626,0.0357178,0.0844121
12,0.275663,0.531248,0.0263931,0.0745535,0.092143,0.0305771,0.100947
13,0.245595,0.520281,0.02846,0.0900492,0.115615,0.0264691,0.118509
14,0.216373,0.504357,0.0299483,0.106359,0.142963,0.0232513,0.136308
15,0.188249,0.484251,0.0307013,0.122611,0.174188,0.0207803,0.153312
16,0.161689,0.46088,0.0306209,0.137747,0.209064,0.0189233,0.168368
17,0.137231,0.435288,0.0296936,0.150678,0.247109,0.0175641,0.180371
18,0.115343,0.40858,0.0279995,0.160466,0.287612,0.0166031,0.188465
19,0.0963092,0.38182,0.0256983,0.166491,0.329682,0.0159561,0.192189
20,0.0801901,0.355926,0.0229969,0.168538,0.372349,0.0155521,0.191535
21,0.0668401,0.331602,0.0201106,0.166792,0.414655,0.0153317,0.186903
22,0.0559709,0.309306,0.0172299,0.161747,0.455747,0.0152446,0.178976
23,0.0472243,0.289269,0.0145003,0.154077,0.494929,0.0152491,0.168578
24,0.0402323,0.27154,0.0120171,0.144518,0.531692,0.0153109,0.156536
25,0.0346557,0.256037,0.00982996,0.133767,0.56571,0.0154025,0.143597
26,0.0302029,0.2426,0.00795264,0.122426,0.596818,0.0155023,0.130379
27,0.0266343,0.231027,0.0063744,0.110982,0.624983,0.0155942,0.117357
28,0.0237585,0.221103,0.00506968,0.0997997,0.650269,0.0156666,0.104869
29,0.0214253,0.21262,0.0040057,0.0891353,0.672814,0.0157119,0.093141
30,0.0195182,0.205383,0.00314765,0.0791546,0.692797,0.0157257,0.0823022
31,0.0179472,0.199218,0.00246196,0.0699513,0.710421,0.015706,0.0724133
32,0.0166428,0.193971,0.00191814,0.061565,0.725903,0.0156528,0.0634832
33,0.0155509,0.189507,0.00148951,0.0539962,0.739456,0.0155674,0.0554857
34,0.0146299,0.185712,0.00115342,0.0472184,0.751286,0.0154519,0.0483718
35,0.0138469,0.182487,0.00089105,0.0411879,0.761587,0.0153091,0.042079
36,0.0131764,0.179746,0.000686966,0.035851,0.770539,0.0151421,0.036538
37,0.0125979,0.177419,0.000528709,0.0311488,0.778305,0.0149539,0.0316775
38,0.0120953,0.175444,0.000406308,0.0270212,0.785033,0.0147477,0.0274275
39,0.0116557,0.17377,0.000311848,0.0234093,0.790854,0.0145263,0.0237212
40,0.0112687,0.172351,0.000239087,0.020257,0.795884,0.0142925,0.0204961
41,0.0109257,0.17115,0.00018313,0.017512,0.800229,0.0140486,0.0176951
42,0.0106199,0.170136,0.000140156,0.0151261,0.803977,0.0137969,0.0152662
43,0.0103456,0.169281,0.000107191,0.0130557,0.80721,0.0135394,0.0131629
44,0.0100982,0.168562,8.19E-05,0.0112616,0.809996,0.0132777,0.0113435
45,0.00987377,0.167958,6.26E-05,0.00970875,0.812397,0.0130133,0.00977134
46,0.00966919,0.167453,4.78E-05,0.00836605,0.814464,0.0127475,0.00841384
47,0.00948175,0.167033,3.65E-05,0.00720608,0.816243,0.0124813,0.00724256
48,0.00930922,0.166684,2.78E-05,0.00620472,0.817774,0.0122158,0.00623255
49,0.0091497,0.166397,2.12E-05,0.00534084,0.819091,0.0119516,0.00536207
50,0.00900161,0.166162,1.62E-05,0.00459598,0.820224,0.0116895,0.00461217
51,0.0088636,0.165971,1.23E-05,0.00395406,0.821199,0.01143,0.0039664
52,0.00873452,0.165818,9.41E-06,0.00340108,0.822037,0.0111734,0.00341049
53,0.00861339,0.165697,7.17E-06,0.0029249,0.822757,0.0109203,0.00293206
54,0.00849937,0.165604,5.46E-06,0.00251497,0.823377,0.0106708,0.00252043
55,0.00839174,0.165533,4.16E-06,0.00216218,0.823909,0.0104252,0.00216634
56,0.00828988,0.165482,3.17E-06,0.00185864,0.824366,0.0101837,0.00186181
57,0.00819325,0.165447,2.41E-06,0.00159753,0.824759,0.0099465,0.00159994
58,0.00810139,0.165427,1.84E-06,0.00137296,0.825097,0.00971359,0.0013748
59,0.00801388,0.165418,1.40E-06,0.00117985,0.825387,0.00948509,0.00118125
60,0.00793038,0.165418,1.07E-06,0.00101382,0.825637,0.00926104,0.00101488
61,0.00785056,0.165427,8.11E-07,0.000871082,0.825851,0.00904147,0.000871893
62,0.00777416,0.165442,6.17E-07,0.000748393,0.826035,0.00882638,0.000749011
63,0.00770094,0.165463,4.70E-07,0.000642945,0.826193,0.00861577,0.000643415
64,0.00763066,0.165488,3.58E-07,0.000552322,0.826329,0.00840961,0.00055268
65,0.00756315,0.165517,2.72E-07,0.000474449,0.826446,0.00820786,0.000474721
66,0.00749823,0.165548,2.07E-07,0.000407535,0.826546,0.0080105,0.000407742
67,0.00743574,0.165582,1.58E-07,0.000350043,0.826632,0.00781746,0.000350201
68,0.00737555,0.165618,1.20E-07,0.000300649,0.826706,0.00762869,0.000300769
69,0.00731752,0.165655,9.13E-08,0.000258215,0.826769,0.00744414,0.000258307
70,0.00726155,0.165693,6.95E-08,0.000221763,0.826824,0.00726374,0.000221832
71,0.00720753,0.165732,5.29E-08,0.00019045,0.82687,0.00708742,0.000190503
72,0.00715535,0.16577,4.02E-08,0.000163553,0.826911,0.00691513,0.000163594
73,0.00710494,0.165809,3.06E-08,0.000140451,0.826945,0.00674677,0.000140482
74,0.00705622,0.165848,2.33E-08,0.000120609,0.826975,0.0065823,0.000120632
75,0.0070091,0.165887,1.77E-08,0.000103567,0.827,0.00642163,0.000103585
76,0.00696351,0.165925,1.35E-08,8.89E-05,0.827022,0.00626469,8.89E-05
77,0.00691939,0.165963,1.02E-08,7.64E-05,0.827041,0.0061114,7.64E-05
78,0.00687669,0.166001,7.79E-09,6.56E-05,0.827057,0.00596171,6.56E-05
79,0.00683533,0.166038,5.93E-09,5.63E-05,0.827071,0.00581552,5.63E-05
80,0.00679527,0.166074,4.51E-09,4.83E-05,0.827083,0.00567278,4.83E-05
81,0.00675647,0.166109,3.43E-09,4.15E-05,0.827093,0.00553341,4.15E-05
82,0.00671886,0.166144,2.61E-09,3.56E-05,0.827102,0.00539733,3.56E-05
83,0.0066824,0.166178,1.98E-09,3.06E-05,0.827109,0.00526449,3.06E-05
84,0.00664706,0.166211,1.51E-09,2.63E-05,0.827116,0.0051348,2.63E-05
85,0.00661279,0.166243,1.15E-09,2.25E-05,0.827121,0.0050082,2.25E-05
86,0.00657955,0.166275,8.73E-10,1.94E-05,0.827126,0.00488463,1.94E-05
87,0.00654731,0.166306,6.64E-10,1.66E-05,0.82713,0.00476401,1.66E-05
88,0.00651604,0.166336,5.05E-10,1.43E-05,0.827134,0.00464629,1.43E-05
89,0.00648569,0.166365,3.84E-10,1.22E-05,0.827137,0.00453139,1.22E-05
90,0.00645623,0.166394,2.92E-10,1.05E-05,0.827139,0.00441926,1.05E-05
91,0.00642765,0.166422,2.22E-10,9.03E-06,0.827141,0.00430983,9.03E-06
92,0.0063999,0.166449,1.69E-10,7.75E-06,0.827143,0.00420304,7.75E-06
93,0.00637296,0.166475,1.28E-10,6.65E-06,0.827145,0.00409883,6.65E-06
94,0.00634681,0.166501,9.76E-11,5.71E-06,0.827146,0.00399715,5.71E-06
95,0.00632141,0.166526,7.42E-11,4.90E-06,0.827148,0.00389792,4.90E-06
96,0.00629674,0.16655,5.64E-11,4.21E-06,0.827149,0.00380111,4.21E-06
97,0.00627279,0.166574,4.29E-11,3.61E-06,0.827149,0.00370665,3.61E-06
98,0.00624952,0.166597,3.26E-11,3.10E-06,0.82715,0.00361449,3.10E-06
99,0.00622691,0.16662,2.48E-11,2.66E-06,0.827151,0.00352457,2.66E-06
100,0.00620495,0.166641,1.89E-11,2.28E-06,0.827151,0.00343685,2.28E-06
